Neighborhood,Community area,Side,Status,Latitude,Longitude
Rogers Park,Rogers Park,Far North,recognized,42.0126294,-87.6745883
Roscoe Village,North Center,North,unofficial,41.94323319999999,-87.6784687
Rosehill,Edgewater,Far North,unclear,41.9866851,-87.6730942
Roseland,Roseland,Far Southeast,unofficial,41.71083369999999,-87.62358329999999
Rosemoor,Roseland,Far Southeast,unofficial,41.7109788,-87.61386999999999
Saint Ben's,North Center,North,unofficial,41.9496772,-87.684
Sauganash,Forest Glen,Far North,recognized,41.9899768,-87.7425332
Schorsch Forest View,O'Hare,Far North,unclear,41.9626472,-87.8414686
Schorsch Village,Dunning,Northwest,unclear,41.9418585,-87.7946286
Scottsdale,Ashburn,Far Southwest,unofficial,41.7420406,-87.7313739
Sheffield Neighbors,Lincoln Park,North,unclear,41.9216605,-87.65833750000002
Sheridan Park,Uptown,Far North,unofficial,41.9655201,-87.6629672
Sheridan Station Corridor,Lake View,North,unclear,41.95384079999999,-87.6548475
Sleepy Hollow,Garfield Ridge,Southwest,unclear,41.8113708,-87.74084409999999
Smith Park,West Town,West,unofficial,41.8933833,-87.68954529999999
South Austin,Austin,West,unclear,41.8873118,-87.7603374
South Chicago,South Chicago,Far Southeast,recognized,41.7396861,-87.5544182
South Commons,Douglas,South,unclear,41.8421825,-87.6203371
South Deering,South Deering,Far Southeast,recognized,41.6736576,-87.5753373
South Edgebrook,Forest Glen,Far North,unofficial,41.9893864,-87.7545275
South Loop,The Loop,Central,unclear,41.8674081,-87.6275005
South Shore,South Shore,South,recognized,41.7589929,-87.5700257
Stateway Gardens,Douglas,South,unclear,41.8274563,-87.6284237
Stony Island Park,Avalon Park,Far Southeast,unclear,41.7414774,-87.5803639
Streeterville,Near North Side,Central,recognized,41.8927362,-87.6200416
Talley's Corner,Mount Greenwood,Far Southwest,unclear,41.7089271,-87.7152605
Tri-Taylor,Near West Side,West,unofficial,41.8713761,-87.6837082
Ukrainian Village,West Town,West,recognized,41.8994127,-87.68448509999999
Union Ridge,Norwood Park,Far North,unofficial,41.97907379999999,-87.79749559999999
Uptown,Uptown,Far North,recognized,41.9665404,-87.6533404
The Villa,Irving Park,Northwest,unofficial,41.9480336,-87.725881
Vittum Park,Garfield Ridge,Southwest,unclear,41.8028954,-87.7472086
Washington Heights,Washington Heights,Far Southwest,recognized,41.7176485,-87.6431332
Washington Park,Washington Park,South,recognized,41.7944738,-87.615963
Wentworth Gardens,Armour Square,South,unclear,41.8252384,-87.63406189999999
West Beverly,Beverly,Far Southwest,unofficial,41.7056889,-87.6866751
West Chatham,Chatham,Far Southeast,unclear,41.7401204,-87.61463599999999
West Chesterfield,"Chatham, Roseland",Far Southeast,unclear,41.729148,-87.6192042
West DePaul,Lincoln Park,North,unclear,41.9290217,-87.6656217
West Elsdon,West Elsdon,Southwest,recognized,41.793219,-87.7231456
West Englewood,West Englewood,Southwest,unofficial,41.7795164,-87.6642914
West Garfield Park,West Garfield Park,West,unofficial,41.8779353,-87.73048879999999
West Humboldt Park,Humboldt Park,West,unclear,41.9025009,-87.7361373
West Lakeview,Lake View,North,unofficial,41.93594,-87.67824279999999
West Lawn,West Lawn,Southwest,unofficial,41.7786631,-87.7227942
West Loop,Near West Side,West,unofficial,41.8854407,-87.66273420000002
West Morgan Park,Morgan Park,Far Southwest,unclear,41.6956426,-87.6860427
West Pullman,West Pullman,Far Southeast,unofficial,41.6778514,-87.64195169999999
West Rogers Park,West Ridge,Far North,unofficial,42.0005804,-87.69257669999999
West Town,West Town,West,recognized,41.8935946,-87.6721671
West Woodlawn,Woodlawn,South,unclear,41.7794339,-87.610586
Wicker Park,West Town,West,recognized,41.9104892,-87.6775672
Wildwood,Forest Glen,Far North,unofficial,42.0070244,-87.77784179999999
Woodlawn,Woodlawn,South,recognized,41.78058,-87.5915351
Wrightwood,Ashburn,Far Southwest,unclear,41.7457436,-87.6912862
Wrightwood Neighbors,Lincoln Park,North,unclear,41.9285649,-87.6563505
Wrigleyville,Lake View,North,recognized,41.949062,-87.656516
